1427;29001;Auchan ARGOL;NULL
1428;29002;Monoprix ARZANO;NULL
1429;29003;Auchan AUDIERNE;NULL
1430;29004;Super U BANNALEC;NULL
1431;29005;Proxi BAYE;NULL
1432;29006;Biocoop BENODET;NULL
1433;29007;Casino BERRIEN;NULL
1434;29008;Super U BEUZEC-CAP-SIZUN;NULL
1435;29010;Proxi BODILIS;NULL
1436;29011;Monoprix BOHARS;NULL
1437;29012;Leclerc BOLAZEC;NULL
1438;29013;Franprix BOTMEUR;NULL
1439;29014;Auchan BOTSORHEL;NULL
1440;29015;Auchan BOURG-BLANC;NULL
1441;29016;Carrefour BRASPARTS;NULL
1442;29017;Auchan BRELES;NULL
1443;29018;Casino BRENNILIS;NULL
1444;29019;Franprix BREST;NULL
1445;29020;Carrefour BRIEC;NULL
1446;29021;Carrefour Market BRIGNOGAN-PLAGE;NULL
1447;29022;Carrefour CAMARET-SUR-MER;NULL
1448;29023;Casino CARANTEC;NULL
1449;29024;Super U CARHAIX-PLOUGUER;NULL
1450;29025;Franprix CAST;NULL
1451;29026;Carrefour Market CHATEAULIN;NULL
1452;29027;Super U CHATEAUNEUF-DU-FAOU;NULL
1453;29028;Franprix  CLEDEN-CAP-SIZUN;NULL
1454;29029;Proxi CLEDEN-POHER;NULL
1455;29030;Franprix CLEDER;NULL
1456;29031;Intermarche CLOHARS-CARNOET;NULL
